demand_electricity,pv,delta_battery,heat_pump,import,export_pv
-4.813416667,3.7569999999999997,0.0,-2.3,3.3564166670000004,0.0
-5.493583333,4.5645,0.0,-2.3,3.229083333,0.0
-6.780583333,4.921499999999999,0.0,-2.3,4.159083333000001,0.0
-8.21425,4.7345,0.0,-2.3,5.77975,0.0
-9.236333333,3.961,0.0,-2.3,7.575333332999999,0.0
-7.808166667,2.3545000000000003,0.0,-2.3,7.753666667,0.0
-6.232416667,0.18699999999999997,0.0,-2.3,8.345416666999999,0.0
-5.9675,0.0,0.0,-2.3,8.2675,0.0
-7.348,0.0,0.0,-2.3,9.648,0.0
-7.611083333,0.0,0.0,-2.3,9.911083333,0.0
-7.237083333,0.0,0.0,-2.3,9.537083333000002,0.0
-8.391166667,0.0,0.0,-2.3,10.691166667000001,0.0
-7.942916667,0.0,0.0,-2.3,10.242916667,0.0
-5.488083333,0.0,0.0,-2.3,7.788083332999999,0.0
-6.848416667,0.0,0.0,-2.3,9.148416667,0.0
-4.631916667,0.0,0.0,-2.206436339,6.838353006,0.0
-2.401666667,0.0,0.0,-1.662872678,4.064539345,0.0
-2.1725,0.0,0.0,-0.22916666675,2.4016666667499997,0.0
-1.9305,0.0,0.0,-0.22916666675,2.15966666675,0.0
-1.837,0.0,0.0,-0.0,1.8369999999999997,0.0
-2.046916667,0.0,0.0,-0.0,2.046916667,0.0
-2.286166667,0.0,0.0,-2.3,4.586166667,0.0
-3.040583333,1.5299999999999998,0.0,-2.3,3.810583333,0.0
-3.22575,3.57,-0.3442499999999998,-2.3,2.3,0.0
-4.491666667,4.743,-0.25133333300000066,-2.3,2.3,0.0
-3.782166667,4.810999999999999,-1.0288333329999992,-2.3,2.3,0.0
-6.185666667,4.165,1.3157774994599998,-2.3,3.0048891675399996,0.0
-11.10083333,2.295,0.0,-2.3,11.10583333,0.0
-10.72775,1.4789999999999999,0.0,-2.3,11.548750000000002,0.0
-7.995166667,0.7140000000000001,0.0,-2.3,9.581166667,0.0
-5.3625,0.0425,0.0,-2.3,7.619999999999999,0.0
-6.5505,0.0,0.0,-2.3,8.8505,0.0
-6.739333333,0.0,0.0,-2.3,9.039333333,0.0
-6.347916667,0.0,0.0,-2.3,8.647916667,0.0
-8.84125,0.0,0.0,-2.3,11.14125,0.0
-8.157416667,0.0,0.0,-2.3,10.457416667,0.0
-8.52225,0.0,0.0,-2.3,10.82225,0.0
-5.944583333,0.0,0.0,-2.3,8.244583333,0.0
-4.168083333,0.0,0.0,-2.3,6.468083333,0.0
-3.773,0.0,0.0,-2.3,6.073,0.0
-2.622583333,0.0,0.0,-2.3,4.922583333,0.0
-2.25775,0.0,0.0,-0.0,2.25775,0.0
-2.24675,0.0,0.0,-0.22916666675,2.47591666675,0.0
-2.07075,0.0,0.0,-0.0,2.07075,0.0
-2.216958333,0.0,0.0,-1.20453934475,3.4214976777499997,0.0
-2.238958333,0.0,0.0,-2.3,4.538958333,0.0
-3.106583333,1.1560000000000001,0.0,-2.3,4.250583333,0.0
-4.607166667,2.8135,0.0,-2.3,4.093666667000001,0.0
-5.863916667,4.054499999999999,0.0,-2.3,4.1094166670000005,0.0
-4.696083333,4.649500000000001,0.0,-2.3,2.346583332999999,0.0
-4.839083333,4.7345,0.0,-2.3,2.4045833329999997,0.0
-7.347083333,4.318,0.0,-2.3,5.329083333,0.0
-8.163833333,3.4425000000000003,0.0,-2.3,7.0213333329999985,0.0
-8.887083333,1.87,0.0,-2.3,9.317083333,0.0
-5.56875,0.221,0.0,-2.3,7.647749999999999,0.0
-5.031583333,0.0,0.0,-2.3,7.331583333,0.0
-5.207583333,0.0,0.0,-2.3,7.5075833329999995,0.0
-8.663416667,0.0,0.0,-2.3,10.963416667,0.0
-9.68825,0.0,0.0,-2.3,11.98825,0.0
-9.321583333,0.0,0.0,-2.3,11.621583333,0.0
-7.924583333,0.0,0.0,-2.3,10.224583332999998,0.0
-6.925416667,0.0,0.0,-2.3,9.225416667000001,0.0
-6.901583333,0.0,0.0,-2.3,9.201583332999999,0.0
-4.769416667,0.0,0.0,-2.3,7.069416667,0.0
-2.806833333,0.0,0.0,-2.26514235025,5.071975683250001,0.0
