demand_heat,heat_pump,boiler,district_heating_industry
-53.29539344,9.2,15.8,28.295393439999994
-120.4468842,9.2,15.8,95.4468842
-71.73482405,9.2,15.8,46.73482405
-93.75745353,9.2,15.8,68.75745353
-80.11355082,9.2,15.8,55.11355082
-93.52262948,9.2,15.8,68.52262948
-93.41653228,9.2,15.8,68.41653228
-73.69688416,9.2,15.8,48.696884159999996
-99.62100436,9.2,15.8,74.62100436
-76.10596285,9.2,15.8,51.10596285
-68.87872678,9.2,15.8,43.878726779999994
-63.48482405,9.2,15.8,38.48482405
-59.13631476,9.2,15.8,34.136314760000005
-69.92412023,9.2,15.8,44.92412023
-93.54525904,9.2,15.8,68.54525904
-70.03021749,9.2,15.8,45.03021749
-77.25745356,9.2,15.8,52.25745356
-15.81815738,9.2,6.618157380000001,0.0
