demand_electricity,electricity_balance,pv,heat_pump,supply_grid_power
-0.0,-1.4584732234252442,0.0,-0.0,0.0
-0.0,-1.4631398900964996,0.0,-0.0,0.0
-0.0,-1.5908065567637095,0.0,-0.0,0.0
-0.0,-1.525473223424342,0.0,-0.0,0.0
-0.0,-1.7884732234306284,0.0,-0.0,0.0
-0.0,-9.729139890095917,0.0,-19.76768,0.0
-0.0,-7.124155475761032,0.0,-14.461950000000002,0.0
-0.0,-2.3508220877529413,0.0,-0.0,0.0
-0.0,-1.4245000074315306,0.0,-0.0,0.0
-0.0,-0.7862079137665909,0.0,-0.0,0.0
-0.0,1.284184763576473,0.0,-0.0,0.0
-0.0,-3.05536473210072,0.0,-2.4562200000000005,0.0
-0.0,-6.021079548427078,0.0,-8.928420000000001,0.0
-0.0,-1.8907206777537269,0.0,-0.0,0.0
-0.0,-2.5231398900978093,0.0,-0.0,0.0
-0.0,-3.055806556760217,0.0,-0.0,0.0
-0.0,-12.27605655676077,0.0,-19.10371,0.0
-0.0,-9.456306556760014,0.0,-10.121020000000001,0.0
-0.0,-4.341806556767551,0.0,-0.0,0.0
-0.0,-4.335806556759053,0.0,-0.0,0.0
-0.0,-6.138223223424458,0.0,-4.799209999999998,0.0
-0.0,-3.462473223433335,0.0,-0.0,0.0
-0.0,-2.945806556759635,0.0,-0.0,0.0
-0.0,-1.5881398900964996,0.0,-0.0,0.0
-0.0,-1.5234732234239345,0.0,-0.0,0.0
-0.0,-1.5894732234301046,0.0,-0.0,0.0
-0.0,-1.6704732234284165,0.0,-0.0,0.0
-0.0,-1.6428065567597514,0.0,-0.0,0.0
-0.0,-1.7524732234232943,0.0,-0.0,0.0
-0.0,-14.69680655676758,0.0,-33.06316,0.0
-0.0,-19.452960347093416,0.0,-46.41425000000001,0.0
-0.0,-2.8535244730942586,0.0,-0.0,0.0
-0.0,-3.3511073104282123,0.0,-4.821319999999999,0.0
-0.0,-1.7748243538030708,0.0,-0.0,0.0
-0.0,-1.2389430060558055,0.0,-0.0,0.0
-0.0,-0.23460410900133866,0.0,-0.0,0.0
-0.0,-5.8621920826644445,0.0,-8.17132,0.0
-0.0,-3.10879937366363,0.0,-0.0,0.0
-0.0,-3.255333333338058,0.0,-0.0,0.0
-0.0,-4.572833333329414,0.0,-3.78818,0.0
-0.0,-11.260083333338116,0.0,-19.34625,0.0
-0.0,-7.813666666662961,0.0,-7.20652,0.0
-0.0,-5.32300000000032,0.0,-0.0,0.0
-0.0,-4.682333333337738,0.0,-0.0,0.0
-0.0,-4.623999999999796,0.0,-0.0,0.0
-0.0,-3.1736666666620295,0.0,-0.0,0.0
-0.0,-2.627999999996973,0.0,-0.0,0.0
-0.0,-1.615333333335002,0.0,-0.0,0.0
-0.0,-1.2386666666679957,0.0,-0.0,0.0
-0.0,-1.0360000000073342,0.0,-0.0,0.0
-0.0,-1.170333333328017,0.0,-0.0,0.0
-0.0,-0.8800000000010186,0.0,-0.0,0.0
-0.0,-1.4609999999993306,0.0,-0.0,0.0
-0.0,-23.531583333334478,0.0,-58.263870000000004,0.0
-0.0,-1.7290752653312185,0.0,-0.0,0.0
-0.0,-0.6370618970021538,0.0,-0.0,0.0
-0.0,-2.534101206997933,0.0,-1.017729999999999,0.0
-0.0,-2.0841063623356133,0.0,-0.0,0.0
-0.0,0.24667589499758424,0.0,-0.0,0.0
-0.0,-0.39566525599636204,0.0,-2.15606,0.0
-0.0,-0.44471867633549644,0.0,-0.3577799999999993,0.0
-0.0,-2.6927806139957218,0.0,-1.08272,0.0
-0.0,-4.550666666666075,0.0,-0.0,0.0
-0.0,-3.0156666666698584,0.0,-0.0,0.0
-0.0,-7.197250000000146,0.0,-7.3224300000000015,0.0
-0.0,-6.371333333332586,0.0,-0.0,0.0
-0.0,-9.135499999995723,0.0,-3.434420000000001,0.0
-0.0,-7.687250000000175,0.0,-8.587390000000001,0.0
-0.0,-5.780250000003085,0.0,-1.6676300000000006,0.0
-0.0,-4.17500000000291,0.0,-0.0,0.0
