demand_heat,heat_balance,boiler,heat_pump,district_heating_industry
-0.0,0.0,0.01418,0.0,0.0
-0.0,0.0,0.1,0.025468000000000005,0.0
-0.0,0.0,0.1,0.09410800000000001,0.0
-0.0,0.0,0.1,0.027200000000000002,0.0
-0.0,0.0,0.1,0.025452,0.0
-0.0,0.0,0.076976,0.0,0.0
-0.0,0.0,0.1,0.035084000000000004,0.0
-0.0,0.0,0.1,0.008400000000000006,0.0
-0.0,0.0,0.1,0.024959999999999993,0.0
-0.0,0.0,0.1,0.013852000000000005,0.0
-0.0,0.0,0.1,0.008983999999999995,0.0
-0.0,0.0,0.1,0.05318799999999999,0.0
-0.0,0.0,0.073536,0.0,0.0
-0.0,0.0,0.1,0.002591999999999999,0.0
-0.0,0.0,0.1,0.0025960000000000037,0.0
-0.0,0.0,0.1,0.043460000000000006,0.0
-0.0,0.0,0.09410400000000001,0.0,0.0
-0.0,0.0,0.009736000000000002,0.0,0.0
-0.0,0.0,0.002108,0.0,0.0
-0.0,0.0,0.0022440000000000003,0.0,0.0
