demand_heat,heat_balance,heat_pump,district_heating_industry,district_heating
-0.0,0.0,0.0368,2.8527264084528,-0.0
-0.0,0.0,0.0368,3.216676390872,-0.0
-0.0,0.0,0.0368,2.150567640375,-0.0
-0.0,0.0,0.0368,2.2688193150000004,-0.0
-0.0,0.0,0.0368,2.4978025187279997,-0.0
-0.0,0.0,0.0368,2.2557116834219997,-0.0
-0.0,0.0,0.0368,2.6068818268559997,-0.0
-0.0,0.0,0.0368,2.728756706658696,-0.0
-0.0,0.0,0.0368,1.9982407463967113,-0.0
-0.0,0.0,0.0368,3.2695120285218304,-0.0
-0.0,0.0,0.0368,2.600995346557467,-0.0
-0.0,0.0,0.0368,4.1296485854813945,-0.0
-0.0,0.0,0.0368,3.9251202414997644,-0.0
-0.0,0.0,0.0368,2.4678919091799365,-0.0
-0.0,0.0,0.0368,1.443852830678595,-0.0
-0.0,0.0,0.0368,0.08619805906057051,-0.0
-0.0,0.0,0.033768515072,0.0,-0.0
-0.0,0.0,0.032652772592,0.0,-0.0
