demand_heat,heat_pump,district_heating_industry,district_heating
-51.94212877,9.2,42.742128769999994,-0.0
-48.38425753,9.2,39.18425753,-0.0
-57.21064382,9.2,48.01064382,-0.0
-76.53703013,9.2,67.33703013,-0.0
-57.29745068,9.2,48.097450679999994,-0.0
-63.21064382,9.2,54.01064382,-0.0
-12.94212877,9.2,3.7421287700000008,-0.0
-15.10532191,9.2,5.905321910000001,-0.0
-10.88425753,9.2,1.68425753,-0.0
0.0,0.0,0.0,-0.0
-0.75,0.75,0.0,-0.0
0.0,0.0,0.0,-0.0
-3.942128765,3.942128765,0.0,-0.0
-43.41319315,9.2,34.213193149999995,-0.0
-71.0763863,9.2,61.87638629999999,-0.0
-72.40277258,9.2,63.20277258,-0.0
-62.54745067,9.2,53.34745067,-0.0
-46.97106438,9.2,37.77106438,-0.0
-54.10532191,9.2,44.90532191,-0.0
-59.54745068,9.2,50.347450679999994,-0.0
-57.5763863,9.2,48.37638630000001,-0.0
-58.51851506,9.2,49.318515059999996,-0.0
-48.85532191,9.2,39.65532191,-0.0
-42.66319315,9.2,33.463193149999995,-0.0
-42.94212877,9.2,33.742128769999994,-0.0
-44.44212877,9.2,35.242128769999994,-0.0
-66.87383697,9.2,57.673836969999996,-0.0
-68.56596573,9.2,59.36596573,-0.0
-42.10532191,9.2,32.90532191,-0.0
-56.73957944,9.2,47.53957944,-0.0
-9.0,9.0,0.0,-0.0
-15.57638629,9.2,6.376386290000001,-0.0
-7.413193146,7.413193146,0.0,-0.0
0.0,0.0,0.0,-0.0
-1.5,1.5,0.0,-0.0
-2.721064382,2.721064382,0.0,-0.0
-1.971064382,1.971064382,0.0,-0.0
-40.60532191,9.2,31.40532191,-0.0
-79.51851503,9.2,70.31851503,-0.0
-62.26851506,9.2,53.068515059999996,-0.0
-50.72106438,9.2,41.52106438,-0.0
-51.10532191,9.2,41.90532191,-0.0
-62.1817082,9.2,52.9817082,-0.0
-53.63425753,9.2,44.43425753,-0.0
-69.12383697,9.2,59.923836969999996,-0.0
-68.65277258,9.2,59.45277258,-0.0
-55.51851506,9.2,46.318515059999996,-0.0
-47.91319315,9.2,38.713193149999995,-0.0
-52.60532191,9.2,43.40532191,-0.0
-45.38425753,9.2,36.18425753,-0.0
-79.17128767,9.2,69.97128767,-0.0
-46.79745068,9.2,37.597450679999994,-0.0
-69.59490135,9.2,60.39490135,-0.0
-44.44212877,9.2,35.242128769999994,-0.0
-14.63425753,9.2,5.43425753,-0.0
-6.942128765,6.942128765,0.0,-0.0
-16.04745068,9.2,6.8474506800000015,-0.0
-4.221064382,4.221064382,0.0,-0.0
0.0,0.0,0.0,-0.0
-1.5,1.5,0.0,-0.0
0.0,0.0,0.0,-0.0
-40.13425753,9.2,30.93425753,-0.0
-79.79745068,9.2,70.59745068,-0.0
-60.85532191,9.2,51.65532191,-0.0
